noise_level,lambda,image,psnr,ssim
0.005,0.0025,00000700.jpg,32.03049391250985,0.88357157
0.005,0.0025,00000734.jpg,37.73904729096864,0.95524806
0.005,0.0025,00000815.jpg,33.1437962165637,0.88976604
0.005,0.0025,00000893.jpg,41.09825486766595,0.9708597
0.005,0.0025,00000895.jpg,27.175927444703195,0.8740569
0.005,0.0025,00000942.jpg,34.99119845320847,0.9252743
0.005,0.0025,00001300.jpg,25.304745990208545,0.80934614
0.005,0.0025,00001446.jpg,33.54982254518477,0.91121644
0.005,0.0025,00001484.jpg,29.84869049868971,0.8591935
0.005,0.0025,00001549.jpg,25.66587862107975,0.77435845
0.005,0.0025,00001618.jpg,33.7983920901285,0.8905308
0.005,0.0025,00001750.jpg,28.922654580012622,0.779156
0.005,0.0025,00001917.jpg,37.35206451239848,0.9422746
0.005,0.0025,00001936.jpg,37.051326962068366,0.92884463
0.005,0.0025,00001953.jpg,36.527074386314496,0.935322
0.005,0.0025,00001960.jpg,36.43203981629429,0.9304672
0.005,0.0025,00002025.jpg,34.51992030498989,0.91374165
0.005,0.0025,00002035.jpg,31.84073640049526,0.8589584
0.005,0.0025,00002066.jpg,40.74450525511372,0.9684887
0.005,0.0025,00002068.jpg,32.274532532621706,0.8897942
0.005,0.0025,00002083.jpg,34.63830069128312,0.9274988
0.005,0.0025,00002194.jpg,36.346620168687,0.9223158
0.005,0.0025,00002258.jpg,29.742358997583295,0.83353925
0.005,0.0025,00002281.jpg,31.739992814231535,0.87100124
0.005,0.0025,00002371.jpg,37.28091555551539,0.9407379
0.005,0.0025,00002645.jpg,32.4284366769042,0.88102937
0.005,0.0025,00002754.jpg,27.929218973743033,0.799
0.005,0.0025,00002920.jpg,29.91137215625557,0.81557125
0.005,0.0025,00003030.jpg,19.471543352908235,0.6430414
0.005,0.0025,00003059.jpg,23.992791720966864,0.84627634
0.005,0.0025,00003071.jpg,19.36559468566163,0.5845259
0.005,0.0025,00003096.jpg,28.68376983216677,0.76711637
0.005,0.0025,00003148.jpg,25.046146565097764,0.73261076
0.005,0.0025,00003301.jpg,27.322796344845326,0.81565976
0.005,0.0025,00003534.jpg,31.811829787721674,0.9014802
0.005,0.0025,00003865.jpg,31.347951652778313,0.88737947
0.005,0.0025,00003963.jpg,27.806310125291574,0.84192115
